Fecha,SKU_1,SKU_10,SKU_13,SKU_14,SKU_15,SKU_16,SKU_17,SKU_18,SKU_19,SKU_2,SKU_20,SKU_22,SKU_25,SKU_26,SKU_27,SKU_28,SKU_29,SKU_30,SKU_31,SKU_32,SKU_33,SKU_34,SKU_35,SKU_36,SKU_37,SKU_38,SKU_39,SKU_4,SKU_45,SKU_46,SKU_47,SKU_48,SKU_49,SKU_5,SKU_50,SKU_51,SKU_52,SKU_53,SKU_6,SKU_63,SKU_64,SKU_65,SKU_66,SKU_7,SKU_8,SKU_9
2018-01-01,7092,2503,1479,4281,3593,4418,253,524,1155,1895,1224,15438,1426,1402,921,1205,3332,877,2376,3396,1170,1596,2584,2561,4742,9205,21638,959,1528,2313,22058,1845,608,2244,3179,8955,3770,4190,1032,2805,3800,1546,5522,1920,1192,404
2018-02-01,7062,2786,1451,3705,3349,4416,340,599,895,2056,1373,16179,1466,1308,819,1194,3413,1291,3104,4217,1637,1675,2765,2607,3717,9994,20525,908,1653,2391,23041,1842,737,2375,3624,10418,3474,5366,1385,2760,4476,1680,6328,2245,1080,460
2018-03-01,8130,2733,1497,4481,4218,4920,302,640,899,1901,1403,13218,1710,1445,767,1140,3475,1187,3129,4294,1674,1785,2517,2905,4672,10474,21110,1053,1434,2479,24590,2123,854,1928,4117,11165,3128,3913,1490,2671,4078,1322,8543,1982,1301,493
2018-04-01,6163,2434,2153,3733,3317,4895,273,527,1111,2363,1446,15038,1861,1415,1015,1335,3398,1298,2973,4245,2188,2135,2631,3129,4801,10739,22446,948,1659,2399,30199,1865,770,2372,4600,11539,3669,4969,1448,3202,3666,1804,7747,1801,1439,524
2018-05-01,6067,2286,1681,4420,3327,4329,331,588,910,2175,1376,12818,1823,1256,806,1107,3461,1073,2749,4977,1686,2235,2940,2769,4443,9982,21926,979,1632,2852,26760,1446,838,2461,3731,11482,4418,3898,1251,2949,4308,1742,6008,2041,1131,454
2018-06-01,6727,2748,1711,3589,3172,4547,281,604,1042,1924,1016,14557,1361,1509,821,1154,3144,1195,2302,3935,1872,1814,3119,2555,4654,11260,24306,914,1473,2623,25178,2340,731,2537,3591,11799,4213,4247,1413,3246,3979,1645,7959,1993,1257,476
2018-07-01,6042,2437,1947,3663,2974,4115,268,536,719,1861,1113,15308,1661,1443,749,1009,2910,955,2661,3825,1661,1596,2782,2494,3671,9623,20144,883,1573,2208,23191,1499,831,2263,2885,11177,3598,4696,1301,2457,4736,1474,6991,1545,1224,439
2018-08-01,7587,2284,1697,3721,3338,4208,269,593,798,2094,1154,14453,1197,1343,914,1093,3081,945,2717,3643,1399,1880,2498,2541,3546,8482,18460,917,1450,2342,21545,1719,716,2342,3798,9678,3720,3870,1258,2751,4666,1407,6089,1572,1276,389
2018-09-01,7054,2565,1288,3762,2223,3626,234,497,949,1764,1322,14682,1306,1377,678,966,2475,1007,2247,3618,1645,1766,2159,2165,4111,8114,20114,830,1624,2634,18948,1518,626,2490,2751,9552,2720,3839,1240,2559,3887,1520,6260,1725,1177,355
2018-10-01,6276,1912,1631,3314,2699,4126,288,571,918,2135,1124,13265,1404,1151,725,1037,2848,1018,2454,3664,1611,1628,2455,2148,3449,7274,18096,676,1122,1821,22614,1590,645,1902,3274,9588,3750,3952,1046,2717,3510,1244,5909,1450,1197,516
2018-11-01,6622,2088,1803,4081,2132,2919,267,527,838,1976,1266,12769,1493,1149,878,1104,2291,1113,2039,3075,1432,2007,2686,2091,3421,9802,20951,729,1259,1964,20046,1667,719,2096,3045,9335,4035,3510,933,2532,3638,1616,6189,1692,1073,478
2018-12-01,6485,2888,1729,4451,3219,3988,195,479,727,2483,1124,11680,1325,1198,848,1074,4054,1004,2426,4124,1691,1479,2585,2340,4577,10874,22516,867,1465,2635,23052,1771,665,2117,3288,10669,3588,4163,1209,2895,3576,1613,4633,1764,1246,437
2019-01-01,6619,2243,1584,3097,3978,4395,234,497,910,2494,1262,16056,1334,1599,986,1077,3149,1324,2711,4034,1547,1945,3001,2585,3965,10878,22878,761,1429,2530,21313,1587,661,2349,3241,13384,4333,4318,1288,2979,3954,1888,6403,1560,1215,519
2019-02-01,7644,3029,1849,3706,3407,3910,300,572,975,2252,1402,15055,1643,1422,1017,1402,3309,1130,2709,4067,1738,2141,3523,2755,4185,11079,18615,960,1545,2407,25179,1908,791,2357,4732,12087,3879,3713,1142,3237,4242,1771,7461,1860,1451,582
2019-03-01,7278,3193,1843,4209,3314,3689,326,650,1001,2046,1455,15913,1637,1519,921,1186,3300,1257,2725,4569,1779,2145,3086,2963,4725,11834,27315,1011,1517,2830,22924,1954,876,2274,3561,11358,4294,4574,1565,3161,4867,1746,6268,1873,1567,500
2019-04-01,8280,2897,1654,4575,3464,5211,296,606,1028,2476,1418,16806,1721,1516,928,1504,3417,1237,2682,4351,1796,2173,2921,2725,4939,10392,23333,1010,1609,2358,24250,2016,745,2781,3535,12749,4450,3439,1260,3510,4469,1790,7775,1793,1499,503
2019-05-01,6515,3248,1614,4188,3030,4671,320,493,975,2331,1603,17054,1490,1395,882,1075,3839,1122,3080,4561,1900,2397,2890,3002,4567,12487,25878,777,1774,2406,23514,1763,779,2613,4695,12432,4448,4106,1610,3078,5129,1623,6722,1981,1377,549
2019-06-01,7216,3042,1718,4266,3178,5124,335,536,1098,2056,1146,16022,1480,1355,956,1032,2895,1038,3112,4303,1728,2184,2781,2398,4619,9844,21613,1073,1565,2709,30312,1627,601,2141,4095,12639,3730,4889,1416,3444,4024,2013,6891,1512,1368,521
2019-07-01,7569,2536,1519,3552,3160,4447,325,568,881,1902,1226,15086,1667,1495,912,1066,3589,1277,2657,3684,1792,2038,2650,2547,4594,8788,21315,852,1597,2618,24214,1968,737,2077,3801,11741,3686,4775,1215,3341,4301,1626,6729,1825,1133,445
