SKU;1_categoria;2_sub_categoria;3_grupo;4_marca;5_producto
SKU_01;Cuidado del bebé;Antipañalitis;Antipañalitis;Crema No. 4;CREMA No4 MULTIUSOS TUBOX30G
SKU_02;Cuidado del bebé;Antipañalitis;Antipañalitis;Crema No. 4;CREMA No4 MULTIUSOS TUBOX90G
SKU_03;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY GOLD ET4 X30 UN
SKU_04;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY GOLD ET4 X50 UN
SKU_05;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY GOLD ET5 X30 UN
SKU_06;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY GOLD ET5 X50 UN
SKU_07;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY GOLD ET6 X30 UN
SKU_08;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY PANTS ET4 X30 UN
SKU_09;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY PANTS ET4 X50 UN
SKU_10;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY PANTS ET5 X30 UN
SKU_11;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY PANTS ET5 X50 UN
SKU_12;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY PANTS ET5 X30 UN E.IND
SKU_13;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY PANTS ET6 X30 UN
SKU_14;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET1 X16 UN
SKU_15;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET1 X20 UN E.IND
SKU_16;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET2 X16 UN
SKU_17;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET2 X30 UN E.IND
SKU_18;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET3 X16 UN
SKU_19;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET4 X16 UN
SKU_20;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET4 X30 UN
SKU_21;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET4 X50 UN
SKU_22;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET4 X30 UN E.IND
SKU_23;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET5 X16 UN
SKU_24;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET5 X30 UN
SKU_25;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET5 X50 UN
SKU_26;Cuidado del bebé;Desechables para bebé;Pañales bebé;Winny;WINNY SEC ET5 X30 UN E.IND
SKU_27;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM ALOE X24 UN
SKU_28;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM ALOE X70 UN
SKU_29;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM AVENA X80 UN
SKU_30;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM AVENA X160 UN
SKU_31;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM RCEN.NDO X40 UN
SKU_32;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM RCEN.NDO X80 UN
SKU_33;Cuidado del bebé;Desechables para bebé;Toallas humedas bebé;Winny;WINNY TOALHUM RCEN.NDO X160 UN
