,SKU_29
0,8955.0
1,10418.0
2,11165.0
3,11539.0
4,11482.0
5,11799.0
6,11177.0
7,9678.0
8,9552.0
9,9588.0
10,9335.0
11,10669.0
12,13384.0
13,12087.0
14,11358.0
15,12749.0
16,12432.0
17,12639.0
18,11741.0
19,11104.0
20,9387.0
21,9721.0
22,10671.0
23,11195.0
24,11889.0
25,14600.0
26,12267.0
27,12273.0
28,11271.0
29,12647.0
30,11735.0
31,11633.0
32,9630.0
33,10500.0
34,10212.0
35,12378.0
36,11717.0
37,10578.0
38,12871.0
39,12597.0
40,11359.0
41,11218.0
42,12273.0
43,10085.0
44,9770.0
45,10481.0
46,10186.0
47,10992.0
48,5230.0
49,3263.0
50,4060.0
51,6407.0
52,6756.0
53,4407.0
54,5276.0
55,7251.5
56,9227.0
57,12622.0
58,8209.0
59,10864.0
60,9425.0
61,8438.0
62,8274.0
63,10150.0
64,10963.0
65,8560.0
66,11128.0
67,8077.0
68,11265.0
69,10492.0
70,10760.0
71,11194.0
72,10957.0
73,6444.0
74,15115.0
75,13032.0
76,17646.0
77,8373.0
78,13214.0
79,7058.0
80,22480.0
81,17146.0
82,19470.0
83,20277.0
