Producto,Ventas_Totales
WINNY SEC ET5 X50 UN,1968822
WINNY SEC ET4 X30 UN E.IND,1834542
WINNY PANTS ET5 X30 UN,1253810
WINNY TOALHUM AVENA X80 UN,916612
WINNY SEC ET4 X50 UN,835380
CREMA No4 MULTIUSOS TUBOX30G,564803
WINNY TOALHUM RCEN.NDO X40 UN,359339
WINNY GOLD ET5 X50 UN,357112
WINNY SEC ET4 X30 UN,348389
WINNY SEC ET2 X16 UN,337486
WINNY GOLD ET4 X50 UN,336475
WINNY TOALHUM AVENA X160 UN,323909
WINNY TOALHUM ALOE X70 UN,317167
WINNY PANTS ET6 X30 UN,272042
WINNY GOLD ET5 X30 UN,269960
WINNY TOALHUM RCEN.NDO X160 UN,243357
WINNY SEC ET4 X16 UN,238340
WINNY SEC ET1 X20 UN E.IND,231045
CREMA No4 MULTIUSOS TUBOX90G,223701
WINNY SEC ET5 X30 UN,207420
WINNY TOALHUM ALOE X24 UN,194375
WINNY SEC ET3 X16 UN,162818
WINNY SEC ET5 X30 UN E.IND,153375
WINNY GOLD ET4 X30 UN,140632
WINNY SEC ET2 X30 UN E.IND,138398
WINNY SEC ET5 X16 UN,126580
WINNY PANTS ET5 X50 UN,113790
WINNY TOALHUM RCEN.NDO X80 UN,107893
WINNY SEC ET1 X16 UN,95033
WINNY PANTS ET5 X30 UN E.IND,94112
WINNY PANTS ET4 X50 UN,80378
WINNY PANTS ET4 X30 UN,46410
WINNY GOLD ET6 X30 UN,24354
