,0
0,22058.0
1,23041.0
2,24590.0
3,30199.0
4,26760.0
5,25178.0
6,23191.0
7,21545.0
8,18948.0
9,22614.0
10,20046.0
11,23052.0
12,21313.0
13,25179.0
14,22924.0
15,24250.0
16,23514.0
17,30312.0
18,24214.0
19,24111.0
20,23957.0
21,19902.0
22,20930.0
23,20110.0
24,27179.0
25,23780.0
26,25254.0
27,31107.0
28,26003.0
29,24978.0
30,21479.0
31,23243.0
32,23297.0
33,23458.0
34,22037.0
35,21728.0
36,25953.0
37,24792.0
38,23033.0
39,24805.0
40,31255.0
41,24643.0
42,28617.0
43,26001.0
44,22892.0
45,22149.0
46,26197.0
47,29249.0
48,30136.0
49,38515.0
50,22471.0
51,28414.0
52,22035.0
53,14769.0
54,43420.0
55,19127.0
56,28276.0
57,20244.0
58,34970.0
59,23636.0
60,19950.0
61,30650.0
62,19111.0
63,23912.0
64,25764.0
65,17640.0
66,17306.0
67,15846.0
68,15561.0
69,22460.0
70,20228.0
71,13340.0
72,15330.0
73,15517.0
74,18148.0
75,17716.0
76,25681.0
77,17542.0
78,25345.0
79,14324.0
80,23664.0
81,17647.0
82,29226.0
83,15834.0
