Fecha,SKU_1,SKU_2,SKU_3,SKU_4,SKU_5,SKU_6,SKU_7,SKU_8,SKU_9,SKU_10,SKU_11,SKU_12,SKU_13,SKU_14,SKU_15,SKU_16,SKU_17,SKU_18,SKU_19,SKU_20,SKU_21,SKU_22,SKU_23,SKU_24,SKU_25,SKU_26,SKU_27,SKU_28,SKU_29,SKU_30,SKU_31,SKU_32,SKU_33,SKU_34,SKU_35,SKU_36,SKU_37,SKU_38,SKU_39,SKU_40,SKU_41,SKU_42,SKU_43,SKU_44,SKU_45,SKU_46
2018-01-01,5612,2413,1761,3600,2829,3860,251,502,1175,2157,1128,13923,1416,1189,919,1193,3154,1058,2943,3738,1694,2161,2707,2190,4358,7571,22313,767,1576,2058,20125,1604,700,2449,3464,11084,3533,4849,1217,3238,3808,1709,6402,1737,1159,487
2018-02-01,6917,3403,1584,3675,3114,4672,309,580,1075,2166,1236,16188,1384,1127,828,886,3262,1202,2503,3798,1461,1907,3020,2790,4498,11246,21954,858,1319,2355,23015,2186,754,2516,3858,12201,3320,4110,1157,2558,4395,1756,8194,1838,1264,478
2018-03-01,7066,3144,1749,4136,3335,4799,307,522,944,2169,1230,14725,1571,1338,902,1036,3715,1169,2932,4392,1477,2338,3052,2118,3970,8988,26109,1084,1310,3216,22336,1918,815,2264,4288,11556,3749,4663,1500,2722,4361,1495,7310,1733,1379,495
2018-04-01,6727,2976,1862,3526,3683,4799,332,669,1111,2387,1221,18199,1615,1321,834,1212,3438,1317,3077,3865,1497,2076,2938,2629,4481,10222,25707,974,1731,2505,27383,2382,750,2664,3380,11106,4436,3576,1277,2840,4847,1472,7701,1889,1359,571
2018-05-01,8477,3025,1886,3962,3313,5182,283,633,890,2156,1405,17821,1523,1416,864,1325,3188,1087,3650,4089,1923,1982,3226,2460,3952,9950,21551,1032,1471,2770,24605,2050,759,2352,3607,12011,3630,4412,1349,3106,4165,1728,7497,1612,1541,501
2018-06-01,6130,2932,2011,3691,3416,4525,304,546,961,2187,1408,15453,1587,1547,743,1265,3423,1281,2777,3571,1635,2012,3367,1927,4159,8912,19275,893,1520,2507,27591,2021,759,2372,4480,11314,4357,4115,1361,2636,3455,1692,6193,1874,1245,447
2018-07-01,6663,3043,1981,4256,3386,4635,289,477,882,2324,1384,14850,1555,1495,751,1016,2939,1187,2428,3705,1363,1703,2709,2688,4016,11134,21417,883,1217,2929,25492,1705,740,2276,3956,11951,4569,4896,1209,3504,3257,1332,6253,1598,1410,539
2018-08-01,5722,2800,1426,4258,2721,3035,276,542,795,2352,1029,12299,1383,1351,929,1100,3571,1180,2619,3811,1481,1558,2284,2304,3927,8882,21011,723,1227,2167,24179,1471,528,2320,3415,7810,3364,4596,1003,2943,3434,1526,7218,1610,1197,490
2018-09-01,5452,2609,1481,3730,2165,4029,278,510,1037,1551,1207,14872,1216,1245,720,1005,3072,1103,2390,3185,1427,1925,2890,2021,3426,8867,22063,876,1300,1912,19210,1729,662,1916,2712,9744,3925,3595,1075,2860,2451,1350,4812,1624,1164,400
2018-10-01,7175,2058,1792,3839,2552,3773,261,425,836,1676,1119,13151,1232,1138,678,1145,3035,1078,2507,3948,1499,1584,3085,2123,3633,7844,18585,705,1261,2015,22869,1474,679,1920,3515,9866,3404,3705,1174,2241,3764,1433,6291,1644,1180,412
